1,愚者,整體,牌面上愚者到達懸崖末端後，將跳進一個未知的環境，所以也代表搬家、轉學、大膽的行動。也許你會把事情看得太簡單，沒有經過縝密的思考和計劃，也許你有目標，只是那個目標跟一般人不同。但事情並沒有絕對的好或是壞。外人看你瘋瘋癲癲孩子氣，不遵守世俗規範，經常不按牌理出牌，語出驚人，行事盲目又什麼話都聽不進。但總而言之，你是個活在當下的樂觀主義者。,,自然香
2,魔術師,整體,你非常主動而有行動力，行動經過清晰思考，所以很有把握與自信。如今萬事齊備，你可以開始進行你的新計劃了。你不僅築夢，而且踏實，擁有一個前景光明的開端。,,木質香
3,女祭司,整體,你一向抱持「以不變應萬變」的態度，處事態度傾向含蓄內斂並傾聽直覺，得到內在的智慧。與其強行改變外在的世界，不如傾聽內心的聲音，自然能境隨心轉，相信擁有的無上智慧。但也可能代表你是個直覺很強，卻很少付諸行動的人，或是態度可能太過拘謹、冷若冰霜。,,花香
4,皇后,整體,你主動且熱情，敢於大方表達愛與關懷，也相當重視感官的享受。你可能在此時享受奢侈的生活，盡情打扮並表現自己，吸引他人的目光。皇后牌同時代表母親與生產，延伸出去就是豐收與創造，通常是令人感到歡樂的牌。相信你長久的耕耘能夠得到滿意的成果。你可以盡情?他人付出，例如照顧小孩或小動物，或者是遇見一位具有這種特質的人，特別是女性。,,果香
5,皇帝,整體,皇帝可能代表某位具有權威父親形象的人，你可能即將遇見對你有極大影響力的人，通常是居上位、有權力、克己嚴謹、但缺乏情感交流的領導人物或權威人士；或可能你就是擁有這個形象的人。如果情況好，皇帝能給予幫助；如果情況不好，皇帝可能會施加控制，使你失去自由，苦不堪言。另外，皇帝也可代表一段穩定自律的時期，嚴以律己、一絲不茍，達成自己的目標。這段時期無論你要做什麼決定，建議多採取理性分析的方式，而非聽從情感與直覺。,,木質香
6,大祭司(教皇),整體,也許你正向某個人或某個團體的人屈服，而這正是你該為自己、及心靈上的需求負起責任的時刻。你目前的行事作風並非應付事情的唯一方式，假設你願意加以探索的話，或許你就會找到新的可能。但縱使有大方向可供追尋，但請記得能做出決定的終究是你的自由意志。,,自然香
7,戀人,整體,戀人經常代表當事人面臨重大抉擇，也就是雙方關係的對立。這樣的抉擇不只是在兩個人之間做選擇，更是對兩種生活方式的抉擇。你即將做出的抉擇可能會產生重大影響，此時不要短視近利，更不可執迷於表面的利益或面子，而應該要仔細思考自己究竟要什麼，才能作出好的決策。牽涉的是人生的轉捩點，不是短期的影響，不可不慎。,,果香
8,戰車,整體,戰士具有堅定不移的信心與決心，他有能力控制整個局勢。六號的戀人牌有關選擇，七號的戰車則對他的選擇採取實際行動，克服路途中的恐懼──恐懼失敗，恐懼選擇錯誤。戰車另一個重要意義是勝利。戰士十分重視輸贏，而他通常是贏的那一方。透過與別人競爭而得勝，他總要成為第一名，縱使付出比別人加倍的努力也在所不惜。對於競爭，他懷有強烈的野心與專注力。對於設定的目標，他會全心全意去達成。　自律、自我要求與情感控制也是戰士具有的過人特質。唯有嚴格的自律，才能使他在競爭中得勝。鬆散、無紀律、渾渾噩噩的生活是他絕對不會接受的。他更不可能放縱自己的情感。他要征服。,,木質香
9,力量,整體,用她內心的勇氣、信心和耐心來馴服目前的困境。相同的道理也可應用在克服內心的獸性與恐懼、憤怒與衝動，也就是克服我們內在的那頭獅子。如果當事人現在表現得太急切，力量牌出現提醒他要放慢腳步，要有耐心，要以柔性力量來行動，同時別忘了自信最重要。,,果香
10,隱士(隱者),整體,最近的你產生想多花一些時間與自己相處的想法。這是你傾聽內心的好時機，遠離人群及不必要的社交活動，讓內心靜下來。冥想、沉思、靜坐、傾聽內心的聲音、留意夢境帶來的訊息，都會帶來好處。你逐漸發現無論是智慧的追尋和性靈的成長，都必須一個人單獨完成。問題的答案其實已經在我們心中，孤獨是為了，內省就是為了找出答案。這個時期也建議你可以向有智慧的前輩請益。,,花香
11,命運之輪,整體,命運之輪要表現的就是個人命運的不可預測，俗語說「風水輪流轉」，正是命運之輪的寫照。通常命運之輪象徵的命運不是人力可以控制的。記住，塞翁失馬焉知非福。如果困擾你的事情已經拖延很久都沒有解決，轉變的時機即將到來，很有可能獲得極大的進展，而且這進展通常不是努力得到的，反而像是莫名其妙從天上掉下來的。把握時機解決它吧！,,木質香
12,正義,整體,你可能表示追求生活和心靈的平衡，理性接受自己的過去，並負起該負的責任。正義就是為所當為。無論是什麼事情，都建議用理性思考的方式，仔細分析利弊。你應該對自己，以及周遭的人絕對的誠實。你過往的決定或行為已經引導你走到了目前的境遇，為你自己目前為止所做的種種決定負起責任，如果你對現況不滿意，請慎重思考方向，因為你的未來可能會因為目前的決定、行為或理解而改變。如果之前被誤會，正義牌出現代表你將討回公道，獲得道歉或賠償。,,自然香
13,吊人,整體,現在的時機對你來說可能很辛苦，不安、焦慮、陷入瓶頸。建議你可以換個角度思考，很多事情都是一體兩面，不要用舊有的習慣侷限自己。你現在做的犧牲最終是否值得，此時還無從得知沒有人知道，但無論如何你都將無法擺脫他已做的選擇而繼續犧牲下去，因為困住你的其實不是外力，而是你自己。在這段時間內無論如何問卜都不會產生任何實質性的進展，目前你的狀況就像是陷入泥沼或流沙般不易自拔，而對陷在流沙中的人來說，輕舉妄動才是大忌。除了思考還是思考，除此之外這個時期做什麼都不安全。讓生命中的事物自然而然的發生，或許你會對結果感到驚喜。,,木質香
14,死神,整體,你可能正在面對一段關係的結束，例如分手、離婚、拆夥；也可能是習慣的結束，例如戒菸、戒酒、戒賭、戒色。從另一方面來看，結束其實也只是一種轉變。世界上唯一不變的就是改變，所不同的只是改變的快或慢而已。結束就是最突然的改變，頃刻之間，必須迫使你立刻放棄某種事物，無論你願不願意。如此轉變令人難以承受，對未知的恐懼在所難免，但這個課題每個人都必須要學。如果過去曾經有不堪回首的往事，死神能讓你重新來過。,,果香
15,節制,整體,憑借調和對立的思想、相反結果的能力，你的內心安祥而平靜；學會了調節正義和憐憫、成功與失敗、歡樂與悲傷，緩和生命中的各種需求。你包容和自己意見不同的聲音，但不會完全迎合它們；調和自己內心相互衝突的思想，因而得到真正的寬容。在這個階段，最重要的是找準方向，確定你做的是你想要做的，僅此而已。,,花香
16,惡魔,整體,你對自己極度缺乏信心，認為自己不可能做好任何事情。你的態度被動而消極，總是讓命運決定自己的未來，不相信自己可以決定自己的命運。現在的你把人生的重心放在追求物質上，完全忽略心靈層面。不要反而被束縛成為物質的奴隸。被他人強迫鎖住是一回事，不願離開自己加諸自身的束縛，才是完全的無藥可救，才是真正的無助，因為即使有人想救，也救不得。,,木質香
17,塔,整體,即將迎來一場突如其來的改變，而且通常是你無法控制的，而且衝擊可能深入內心，徹底毀壞你的價值觀與信仰，而失去安全感。你必須捨棄以往的一切，來適應新的模式。 破壞的過程很痛苦，但為了光明的前景，短暫的痛苦也值得。這個課題不容易，畢竟人受限於習慣，一旦日常生活模式受到預料之外的破壞，一定非常難以接受。但這可能是極為難得的機緣。,,果香
18,星星,整體,星星代表希望、和諧、療癒、平穩、寧靜與安祥，也與靜坐冥想相關，這些並非外顯的行動，而是內在的狀態。如果你正處於一場劇變時期，感到極大的痛苦，表示你即將找到一個新的出口，並且在情緒上保持和諧穩定。但要注意在痛苦後帶來的積極感受雖然令人愉快，卻並不穩固。這樣純粹歡愉當然可能來源于靈性覺醒，但更多是由于無知或長期壓抑。千萬要記住虛幻的東西總是沒辦法持續很久的，如果之前沒有充足的實際準備，很快就會跌回現實。,,自然香
